,baseMean,log2FoldChange,lfcSE,pvalue,padj
TBL1X,257.641644,-0.180016107,0.152505091,0.151913169,0.349104058
PYY2,14.95928407,-0.195168875,0.295055441,0.151926199,0.349104058
GPAT2,14.26914813,-0.184066907,0.297662006,0.152062751,0.349364634
FKBPL,160.3535214,-0.177796048,0.149759977,0.152165785,0.349548134
TRIO,7403.303049,0.090679692,0.066016487,0.152439405,0.350123382
SLC5A10,9.565889504,0.143840791,0.292997118,0.152481568,0.350166924
AKAP13,6296.568359,-0.081630602,0.058820864,0.1527525,0.350691905
RIPK2,1191.244089,0.125515836,0.094428893,0.152756653,0.350691905
ZFTRAF1,1934.543578,-0.130968963,0.099385227,0.152873918,0.35090773
HTR3B,17.32061671,-0.200721692,0.291118816,0.153060877,0.351283443
NCS1,1384.303164,0.147191422,0.114996811,0.153095388,0.351309215
TBX6,34.16568466,0.216015493,0.245460561,0.153162915,0.351410733
SPHK2,733.7339372,-0.144723537,0.112209832,0.153220773,0.351444279
DNAJC21,1130.762918,-0.108042251,0.079651132,0.153243411,0.351444279
WASF1,85.22926392,-0.195312002,0.177403611,0.153247406,0.351444279
CABLES2,314.2638208,0.151700168,0.119757801,0.153462491,0.351839021
SPDYE18,31.75893106,-0.213324006,0.270125435,0.153485859,0.351839021
TRPC2,12.79510073,-0.182229523,0.297616245,0.153510109,0.351839021
LRRC17,11.45648783,0.162804393,0.296098531,0.153521693,0.351839021
GDPGP1,201.4342751,-0.163094645,0.132328736,0.153551319,0.351839021
NOP14,1749.290576,0.096804576,0.070538916,0.15355943,0.351839021
PYGO2,1054.520204,-0.111981676,0.082958321,0.153643751,0.351978776
ADGRD2,11.41930988,-0.166677399,0.297017592,0.153689647,0.352030476
ZNF607,94.17460997,0.204863478,0.198871249,0.153791672,0.352210704
RASGRF1,74.0245218,-0.211159945,0.219346058,0.153886249,0.352335528
IER2,1465.766284,-0.139257697,0.108220721,0.153892874,0.352335528
TMEM213,23.59686461,-0.205796108,0.283337151,0.153932077,0.352355549
ATF7,1170.50293,-0.120551754,0.090659805,0.153951344,0.352355549
FAAP20,691.5653563,-0.143115951,0.113556652,0.153974273,0.352355549
UFM1,1914.687001,0.113761738,0.084507805,0.15399502,0.352355549
PAN3,1201.498789,0.107050403,0.078844646,0.15402475,0.352370145
ASCC1,622.093376,0.118087793,0.088223605,0.154170356,0.352568689
COPS7A,2201.760498,-0.090826528,0.066015969,0.154178678,0.352568689
INPP5B,922.738776,-0.137763671,0.106304331,0.154201254,0.352568689
WASH7P,713.5599762,-0.149935568,0.118665657,0.154204993,0.352568689
CXCL11,15.61260345,-0.185745903,0.296258818,0.154248984,0.352615841
ZC3H7A,1620.166898,-0.118831196,0.088980995,0.154315647,0.3527148
PES1,2056.78956,0.103010952,0.075785627,0.154424527,0.352910209
PLLP,192.0266877,0.177688945,0.150922697,0.154464778,0.352948744
FLT4,26.45447622,0.212746177,0.26902156,0.154546106,0.35308111
HAS3,29.95914191,-0.208556817,0.272341349,0.154577387,0.353099118
HES6,351.7880897,0.145722253,0.114001939,0.154705162,0.353298179
TMSB10,22500.19928,-0.093906713,0.069486494,0.154719965,0.353298179
S100Z,35.88097814,-0.206729554,0.279193464,0.154734769,0.353298179
CHRNG,8.375669165,-0.149550724,0.293858002,0.154796896,0.353343512
ABHD12,5917.29628,-0.089415411,0.06504346,0.154801455,0.353343512
MCMDC2,156.9418495,0.173574291,0.145599585,0.154938315,0.353582994
SIPA1L3,629.1109978,0.175228546,0.148034963,0.154953237,0.353582994
H4C12,47.25026512,-0.2097128,0.213602878,0.155042566,0.353733342
FOCAD,1003.619936,-0.131727601,0.10068908,0.155132691,0.353869337
TBCC,573.6751768,-0.119721133,0.089975905,0.155149074,0.353869337
ZFAND5,7342.970966,0.081494217,0.058079778,0.155270682,0.354093184
NDUFA9,1547.858415,0.116426754,0.087058248,0.155401631,0.354338262
KY,9.368118203,-0.150524628,0.294075552,0.155549675,0.354622239
THRB,32.98896597,0.1959816,0.28571001,0.155617863,0.354724101
ELOVL5,2027.540042,-0.103072445,0.076082264,0.155681183,0.35481484
CCDC194,88.91977938,-0.20352993,0.19823741,0.15576898,0.354961326
PHIP,2309.710474,0.123381372,0.092754485,0.155861999,0.355119669
USP42,560.641349,-0.114284509,0.085503014,0.156048785,0.355491572
FAM184B,12.35124129,0.16364632,0.296542266,0.156288112,0.355983035
ZC3H15,2006.733002,0.127914022,0.095346848,0.156347376,0.356064277
AK1,389.4229234,0.187254076,0.16661835,0.156430368,0.356199526
PCOLCE,100.5451867,0.205285288,0.203283769,0.156575318,0.356475792
