,baseMean,log2FoldChange,lfcSE,pvalue,padj
P3H1,2189.651902,-0.299361799,0.094443089,0.000106616,0.006110213
ZNF687,1163.589273,-0.195167765,0.058706163,0.000111428,0.006350162
LARS1,3838.733748,0.221850579,0.068203254,0.000115238,0.006530571
PIGT,4164.285423,-0.225210803,0.069019713,0.000116415,0.006559143
AGAP3,6241.141584,-0.265984434,0.082794182,0.00011767,0.006559143
ATP6V0D1,10502.92192,-0.158738889,0.047372169,0.000117949,0.006559143
SH2B1,1920.512702,-0.358952162,0.116662327,0.000118544,0.006559143
NUCKS1,6866.136397,0.332830462,0.108020011,0.000118975,0.006559143
TBC1D17,1555.873807,-0.269269839,0.085171311,0.000121935,0.006650162
TRAF3,3165.687777,0.211739907,0.064882288,0.000121937,0.006650162
SHC1,2683.165862,-0.261162333,0.082519892,0.000124149,0.006713174
IER5L,4261.633809,-0.357649975,0.117087992,0.000124416,0.006713174
BAZ1B,4172.571274,0.15278576,0.044791759,0.000127154,0.006824582
CCDC92,2293.816421,-0.194964329,0.059313902,0.000127969,0.006831144
C1QTNF6,128.2595545,-0.53016642,0.178823414,0.00012847,NA
AHCTF1,1382.73999,0.251602121,0.079629446,0.000128623,0.006831144
TOMM70,1804.428996,0.237217746,0.073166909,0.000130297,0.006861534
FKBP8,7286.195127,-0.176420508,0.05292589,0.000130548,0.006861534
HVCN1,716.3465675,-0.241424978,0.076052559,0.000133332,0.006971759
TP53I13,1201.496281,-0.292798181,0.094599277,0.000135778,0.00705212
NUCB1,9627.869431,-0.208017048,0.064206555,0.000136259,0.00705212
MMP24OS,1965.993155,-0.28624728,0.092318702,0.000137844,0.007062579
C2orf49,420.7874049,0.340390987,0.112483846,0.000138478,0.007062579
SEPTIN10,1670.895811,0.200848807,0.061873475,0.00013855,0.007062579
PSMF1,2974.898938,-0.248074469,0.079386716,0.000141763,0.007190197
TBL3,942.0135536,-0.340437203,0.112577417,0.000144542,0.007280227
SDCCAG8,1981.675306,0.225175512,0.070839191,0.000144973,0.007280227
DOK3,7052.407522,-0.203388305,0.064308145,0.000146321,0.007311712
CSE1L,1454.299779,0.220111176,0.069232955,0.000147297,0.007324428
TMUB1,1088.379297,-0.300555091,0.098326501,0.000149167,0.007381214
LAMB2,2451.291428,-0.392110889,0.13165142,0.000150286,0.007400507
MFSD10,1942.356966,-0.213581322,0.067059225,0.000156537,0.007671073
PLBD2,5939.948705,-0.165712812,0.049822545,0.000161039,0.007853744
SLC25A40,1128.490277,0.249643467,0.080588454,0.000162895,0.00790626
AIDA,2139.101588,0.224343591,0.071808019,0.000167757,0.008103476
NOTCH2NLR,11.45955289,1.916949361,0.648223117,0.000168096,NA
BRAT1,1525.875068,-0.253177177,0.082168282,0.000169362,0.008119775
SH3GLB2,1460.038227,-0.206554495,0.064844716,0.000170181,0.008119775
STAG2,2946.697893,0.20242624,0.063745378,0.000170496,0.008119775
CTSA,11595.64162,-0.183737351,0.057168652,0.000174431,0.008268344
RBM3,5116.144317,0.213195042,0.067948687,0.000176282,0.008317233
NUMA1,8260.902154,-0.188993343,0.05909501,0.000177996,0.008345152
DGAT1,1419.829491,-0.232706911,0.07500686,0.000179402,0.008345152
SCAND1,1630.520677,-0.22026009,0.06954507,0.000180013,0.008345152
ZC3H15,2080.920052,0.226554533,0.072945788,0.000180164,0.008345152
SHOC2,1441.083763,0.268575314,0.088858955,0.000184203,0.008493421
HMGB1,7913.442602,0.212555089,0.067999009,0.000185145,0.008498224
C15orf48,4360.83208,0.330997619,0.112881892,0.000191422,0.008746767
