,baseMean,log2FoldChange,lfcSE,pvalue,padj
DDX23,2608.373852,0.206489921,0.050204401,3.39E-06,0.000357007
HECA,2884.870219,-0.210984661,0.051685233,3.46E-06,0.00035951
MAFF,1082.249095,0.309664624,0.077166524,3.47E-06,0.00035951
SERPINE1,1342.482779,0.290080665,0.072278638,3.65E-06,0.000374624
HLA-DRA,3709.552867,-0.370949198,0.094022865,3.90E-06,0.000396766
SLC2A6,776.4060013,0.398652532,0.100981939,3.98E-06,0.000401824
SLC7A1,2721.807384,0.250717411,0.062323187,4.06E-06,0.000406452
CD302,612.5349667,-0.405393665,0.10345792,4.26E-06,0.000422987
GAL3ST4,2586.305248,-0.343015183,0.087287492,4.37E-06,0.000430358
MARCHF1,3510.015711,-0.230301069,0.05749322,4.69E-06,0.000457245
DUSP6,1438.368124,0.468328988,0.12088831,4.94E-06,0.000474334
REC8,449.5638553,0.371342344,0.095080984,4.90E-06,0.000474334
MYOZ1,1232.841332,-0.295618587,0.075216812,4.98E-06,0.000474388
HLA-DMB,5071.702525,-0.339720113,0.087552041,5.08E-06,0.000480389
DBP,539.8003148,-0.409646775,0.105620601,5.27E-06,0.000493964
SRXN1,975.6998523,0.26826637,0.06807734,5.36E-06,0.000498355
BYSL,342.7008234,0.427862414,0.111054224,5.45E-06,0.000499639
SLC7A11,268.3314049,0.481886762,0.125384566,5.46E-06,0.000499639
STX1A,271.8957172,0.554651907,0.145297921,5.87E-06,0.000533531
MYADM,2766.093699,0.370832668,0.095612228,5.94E-06,0.000535395
TNFAIP3,1578.487619,0.266079729,0.068185608,6.23E-06,0.000557404
ITGA5,7521.799429,0.233735795,0.059545718,6.42E-06,0.000570249
SYNE3,564.6650303,0.372309526,0.097063456,6.47E-06,0.000570249
SYNJ2,541.4147495,0.510738933,0.134700165,6.61E-06,0.000570249
TSR1,1405.906508,0.219687145,0.055635824,6.54E-06,0.000570249
TUBB2A,1046.139302,0.28123886,0.072558718,6.58E-06,0.000570249
LILRB2,1333.436986,0.286714092,0.074174668,6.78E-06,0.00058074
ST6GAL1,12889.38389,-0.186641032,0.048205492,7.04E-06,0.000598855
LTA4H,31609.81219,-0.195944731,0.049770596,7.26E-06,0.000612928
MMP9,22325.4455,0.401017312,0.105396474,7.35E-06,0.000615915
PHF3,2230.248804,-0.214749303,0.05490021,7.40E-06,0.000615915
PLK3,1721.849538,0.30528015,0.079829981,7.62E-06,0.000629852
KMT2C,2874.059588,-0.266896346,0.069759258,8.15E-06,0.000669213
PADI2,1147.110513,-0.513249073,0.137688029,8.34E-06,0.000675023
TYMP,14247.94214,0.242700861,0.062891741,8.32E-06,0.000675023
RPS6KL1,387.363875,0.437641829,0.117037054,8.72E-06,0.000701082
SOD2,20289.67174,0.274607872,0.069826858,8.94E-06,0.000714113
ID2,11610.32683,-0.193983663,0.05001136,9.69E-06,0.000769235
SORT1,11487.6093,-0.164724197,0.041844063,9.77E-06,0.000770141
LIPA,50370.54592,-0.215600154,0.056453191,9.90E-06,0.000775583
MAMLD1,392.5942857,0.364796493,0.09785286,1.00E-05,0.000778687
CYBRD1,1499.638003,-0.212487639,0.055421992,1.04E-05,0.000801394
