,baseMean,log2FoldChange,lfcSE,pvalue,padj
MBP,3004.213122,-0.01581765,0.101459003,0.863320541,0.933080717
TDRD7,982.9204446,-0.014553113,0.092169127,0.863331542,0.933080717
PCDHAC2,23.06352728,0.015915774,0.24240359,0.863663952,0.93333601
ABAT,310.4200018,0.018787009,0.122907822,0.863754342,0.93333601
SYNJ2BP,1092.650353,0.017455216,0.111003967,0.863825147,0.93333601
HSPH1,2416.600619,0.012580638,0.075497632,0.863851152,0.93333601
TXNDC17,580.9394821,-0.016892012,0.112232028,0.863877008,0.93333601
CYP4F3,28.81718938,0.017153166,0.237314892,0.863966738,0.933366129
AK8,12.48496668,0.015338205,0.243708659,0.864254249,0.933609895
OGFOD3,1054.396608,-0.015380691,0.097950229,0.864426306,0.933728916
CASTOR1,132.0945965,0.020987681,0.147884869,0.864591002,0.93383997
ZKSCAN7,58.70498593,0.02232918,0.194367542,0.8648777,0.934035916
GOLGA8Q,62.87797426,-0.021519645,0.203798196,0.864896213,0.934035916
CHAT,15.4186792,-0.017135165,0.236350424,0.865004715,0.934054934
ELMOD3,635.7424941,0.016733217,0.107260842,0.865037621,0.934054934
MYL5,755.6318717,0.016671601,0.103698027,0.865103719,0.934059468
P3H3,111.6374866,-0.021610894,0.165077847,0.865374578,0.934285068
MARCHF8,1304.256188,-0.017046625,0.113424041,0.86553659,0.934393128
HORMAD1,87.81526669,0.021955345,0.165382552,0.865684947,0.93443265
EBAG9P1,7.719876772,-0.014909114,0.244137487,0.865702446,0.93443265
PERPP2,19.6780906,-0.019663491,0.223212717,0.86576053,0.93443265
CRYBB2P1,130.539984,0.020788115,0.147086489,0.865868303,0.93443265
KIAA1217,30.7647206,0.018431688,0.232520781,0.865882819,0.93443265
LIPT2,108.2546732,0.021580809,0.171167159,0.865994972,0.934486851
PPP1CA,7749.938812,-0.015137881,0.08327229,0.866290359,0.934738758
DUSP8P5,94.7943562,-0.021637239,0.173591752,0.866733227,0.934970749
FBXL15,951.5676587,-0.016280487,0.108595687,0.866736644,0.934970749
DCX,7.366318868,-0.013513802,0.247547676,0.866737313,0.934970749
CD55,1089.728785,0.014300884,0.089302001,0.866753201,0.934970749
SRSF12,20.57081222,-0.016921308,0.238757055,0.866834671,0.934991793
MAST2,2506.70362,-0.012893125,0.082197709,0.866962751,0.935059249
CERCAM,793.599728,-0.016790124,0.113946553,0.867062964,0.935059249
ZDHHC11,13.57438224,-0.017418973,0.233993554,0.867149643,0.935059249
C18orf32,585.5466992,0.020339459,0.137303239,0.867188158,0.935059249
RBMS3,16.85754585,0.016503729,0.23906236,0.867208479,0.935059249
ATP5ME,1349.142607,0.013532317,0.084325806,0.867303149,0.935059249
ZNF670-ZNF695,36.62389135,0.021228913,0.210546011,0.867338002,0.935059249
PIWIL4,154.866458,-0.021231834,0.184466048,0.867392934,0.935059249
ARPP19,3214.871751,0.014843248,0.093308875,0.867616905,0.935092799
ALDOC,68.76152229,0.021967491,0.177318248,0.867634489,0.935092799
